,manhattan,tip,dist,speed,pass
55737,2,4,1,1,3
55741,2,3,2,2,1
56828,1,1,1,2,4
57316,1,1,2,2,1
57681,2,1,1,1,1
57972,2,4,1,2,1
58519,1,4,2,2,1
58545,2,6,2,3,4
59087,2,1,5,4,1
59422,1,1,4,6,1
59978,1,2,6,4,1
62407,1,4,5,6,1
62797,2,1,1,1,1
62884,2,3,3,3,1
62927,2,3,1,1,1
62930,1,3,5,4,3
63002,1,6,6,4,4
63165,2,4,1,2,2
63191,2,3,3,2,1
63324,1,1,5,4,1
63938,1,1,4,4,3
64188,1,5,3,6,2
64325,1,6,1,2,1
64836,1,6,2,4,1
64910,1,1,1,1,1
65234,1,1,6,5,2
65646,2,5,1,1,3
65820,2,4,3,2,1
65858,2,1,1,1,1
65965,2,1,2,2,1
66036,2,1,1,1,1
66237,1,3,4,4,1
67213,1,4,2,3,1
67684,1,5,2,1,1
67860,1,2,1,1,1
67981,2,3,1,1,1
68018,2,4,1,1,2
68306,2,1,3,3,2
68917,2,3,1,2,2
69012,1,2,6,4,1
69417,2,2,3,5,2
69549,1,1,3,5,1
69876,1,1,3,6,1
70040,1,3,5,2,1
70452,1,4,5,4,4
70830,2,2,1,1,1
71055,2,1,1,2,1
71066,1,1,6,6,1
71262,2,2,3,2,3
71426,1,1,5,4,1
71676,1,1,6,6,1
72631,1,4,4,3,1
72742,1,5,3,5,1
73160,2,1,1,1,1
73202,2,3,1,1,1
73271,2,1,2,2,1
73424,1,4,1,4,1
73583,2,1,1,2,1
74101,2,1,1,3,1
74175,1,1,1,2,1
74198,1,4,2,3,1
74378,1,4,4,2,1
74882,1,1,4,5,1
75274,1,1,3,6,1
75335,1,5,1,3,2
75754,1,1,2,3,2
76007,2,2,1,1,1
76511,2,1,1,1,1
77175,2,4,1,1,2
78709,2,1,1,1,1
78746,2,3,2,1,2
78750,2,2,2,2,1
79269,1,4,1,1,1
79284,2,2,1,1,2
79784,2,6,4,4,3
79878,1,1,1,2,2
80426,1,1,2,3,1
80892,1,4,6,5,4
81156,2,1,4,3,1
81431,2,4,1,1,1
81487,1,2,6,5,4
81525,2,1,4,2,1
81656,2,4,1,2,2
81726,1,1,3,1,2
82288,1,1,5,4,1
82764,1,4,6,4,1
150959,2,2,2,2,1
151031,2,1,2,2,1
151208,2,1,2,2,1
151734,1,1,1,1,1
151840,1,3,3,2,1
153226,1,1,2,1,2
153252,1,3,6,4,4
153506,1,4,6,5,4
153741,2,5,4,3,1
153773,2,4,2,2,4
153990,2,2,1,1,1
154274,2,3,1,1,1
154298,1,4,5,4,2
154379,1,1,1,2,1
154919,2,1,3,3,1
154999,1,1,4,2,1
155378,1,1,4,3,1
155495,2,1,6,4,1
155498,2,1,6,4,2
155733,1,2,3,2,1
155954,1,1,6,2,2
156180,2,2,2,2,2
156215,2,3,2,2,1
156242,1,2,5,3,1
156397,2,1,2,2,1
156961,1,1,2,1,1
157168,1,1,2,1,1
157682,1,1,4,5,4
158186,1,2,1,2,1
